source_mlo,unified_mlo,source_dbs,annotations
SARS-CoV-2 N condensate,sars_cov2_n_condensate,PhaSepDB,4
SARS-CoV-2 condensate,sars_cov2_n_condensate,CDCODE,4
Sec body,sec_body,"PhaSepDB,PhasePro",11
Sec-body,sec_body,CDCODE,8
sex body,sex_body,CDCODE,2
Signaling cluster,signaling_cluster,CDCODE,25
Receptor cluster,signaling_cluster,"DrLLPS,PhaSepDB",24
membrane cluster,signaling_cluster,PhasePro,3
PCBP2 condensates,signaling_condensate,CDCODE,5
SSB condensate,signaling_condensate,CDCODE,3
PARP5A–RNF146 condensate,signaling_condensate,CDCODE,2
PGAM5-MAVS Condensate,signaling_condensate,CDCODE,2
Plectin condensates,signaling_condensate,CDCODE,2
BMP2K condensate,signaling_condensate,CDCODE,1
EML4-ALK condensates,signaling_condensate,CDCODE,1
HSP condensate,signaling_condensate,CDCODE,1
Insulin/IGF-1 signalosomes,signaling_condensate,CDCODE,1
Nur77 condensate,signaling_condensate,CDCODE,1
Signalosome,signaling_condensate,CDCODE,1
TBC1D2B condensate,signaling_condensate,CDCODE,1
SIMR foci,simr_foci,CDCODE,2
SINT-speckle,sint_speckle,PhaSepDB,5
Sint speckle,sint_speckle,CDCODE,4
Sirna body,sirna_body,CDCODE,5
siRNA body,sirna_body,DrLLPS,2
Slit diaphragm condensate,slit_diaphragm_condensate,CDCODE,3
SMN-Rpp20 complex,smn_complex,CDCODE,1
Spider Silk Spidroin,spider_silk_condensate,CDCODE,1
Spindle apparatus,spindle_apparatus,"DrLLPS,PhaSepDB",78
+TIP body,spindle_apparatus,CDCODE,6
+TIP,spindle_apparatus,CDCODE,3
Birc5b assembly,spindle_apparatus,CDCODE,1
EB1F condensate,spindle_apparatus,CDCODE,1
GAS2L3 condensates,spindle_apparatus,CDCODE,1
Spindle matrix,spindle_apparatus,CDCODE,1
condensed compartments of microtubule bundling,spindle_apparatus,PhasePro,1
spindle matrix,spindle_apparatus,PhasePro,1
Centrosome/Spindle pole body,spindle_pole_body,DrLLPS,910
Splicesome,spliceosome,PhaSepDB,1
Sponge body,sponge_body,"CDCODE,DrLLPS",27
SPOP/DAXX body,spop_daxx_body,"CDCODE,PhasePro",4
STD1 body,std1_body,CDCODE,1
Std1 bodies,std1_body,PhasePro,1
STING phase-separator,sting_phase_separator,"CDCODE,PhaSepDB",3
Stress granule,stress_granule,"CDCODE,DrLLPS,PhaSepDB",4932
Stress Granule,stress_granule,CDCODE,56
cytoplasmic stress granule,stress_granule,PhasePro,18
DHX9 Stress Granules,stress_granule,CDCODE,12
Osmotic stress granule,stress_granule,PhaSepDB,1
eIF5B granules,stress_granule,CDCODE,1
Sup35 condensate,sup35_condensate,"CDCODE,PhasePro",4
α-synuclein condensates,synapsin_condensate,"CDCODE,PhaSepDB",7
Synapsin condensate,synapsin_condensate,PhaSepDB,5
a matrix holding together clusters of synaptic vesicles (SVs),synapsin_condensate,PhasePro,2
α-synnuclein condensates,synapsin_condensate,CDCODE,1
LAT signalosome,t_cell_signalosome,PhasePro,3
T-cell signalosome,t_cell_signalosome,CDCODE,3
TCR signalosome,t_cell_signalosome,PhasePro,3
TAM body,tam_body,DrLLPS,11
Tam body,tam_body,CDCODE,11
Tau condensate,tau_condensate,PhaSepDB,270
Tau Condensate,tau_condensate,CDCODE,5
Tau inclusion,tau_condensate,CDCODE,1
TDP-43 nuclear condensate,tdp43_nuclear_condensate,PhaSepDB,2
TIS granule,tis_granule,"CDCODE,PhaSepDB,PhasePro",3
TmaR condensate,tmar_condensate,PhaSepDB,1
Transcriptional condensate,transcriptional_condensate,"CDCODE,PhaSepDB",163
Transcription Elongation Condensate,transcriptional_condensate,CDCODE,8
c‐Maf condensates,transcriptional_condensate,CDCODE,6
Elongation complex,transcriptional_condensate,PhaSepDB,5
SGF29 condensate,transcriptional_condensate,CDCODE,4
Transcription condensate,transcriptional_condensate,CDCODE,4
cBAF condensate,transcriptional_condensate,CDCODE,4
BRD4 condensate,transcriptional_condensate,CDCODE,3
CEBPZ condensates,transcriptional_condensate,CDCODE,3
TFAP2β condensates,transcriptional_condensate,CDCODE,3
Transcriptional condensates,transcriptional_condensate,CDCODE,3
EWS-FLI1,transcriptional_condensate,CDCODE,2
IFN-I transcriptional condensate,transcriptional_condensate,CDCODE,2
KAT8-IRF1 condensate,transcriptional_condensate,CDCODE,2
POLII clusters,transcriptional_condensate,PhasePro,2
"RNA polymerase II, holoenzyme",transcriptional_condensate,PhasePro,2
EWSR1 condensates,transcriptional_condensate,CDCODE,1
MEF2D Condensate,transcriptional_condensate,CDCODE,1
RNA polymerase clusters,transcriptional_condensate,CDCODE,1
nYAC,transcriptional_condensate,CDCODE,1
TWN body,twn_body,PhaSepDB,3
U1 snRNP condensate,u1_snrnp_condensate,PhaSepDB,2
U-body,u_body,CDCODE,5
U body,u_body,DrLLPS,3
UBQLN puncta,ubqln_puncta,PhaSepDB,4
Ubqln puncta,ubqln_puncta,CDCODE,3
ViPR body,vipr_body,PhaSepDB,2
Viral factory,viral_factory,CDCODE,5
cytoplasmic viral factory,viral_factory,PhasePro,5
cytoplasmic Virion Assembly Compartments (cVACs),viral_factory,CDCODE,4
Cytoplasmic viral factory,viral_factory,CDCODE,3
HIV core condensate,viral_factory,CDCODE,3
HIV-1-MLO,viral_factory,PhaSepDB,3
