"uid","name","description","species_taxon_id","species_name","confidence_score","condensate_type","infectious_agent_species_id","infectious_agent_species_name"
B5F9EA4E,Synthetic Condensate 000369,"Morphology: In Vitro Droplet Formation; Main protein: P19338; Partner Proteins: P22087; strong binding of the N-terminal LC domain of FUS was observed and the LC domains of TAF15, DHX9 or nucleolin were trapped at a moderate intensity by the hydrogel droplets.",9606,Homo sapiens,1,synthetic,,
"39517448",eIF5B granules,"Cytoplasmic condensates formed under stress, distinct from stress granules (SGs), promote internal ribosome entry site (IRES)-mediated translation.",9606,Homo sapiens,4,biomolecular,,
"40C311B2",Stress granule,"Stress granules (SGs) are condensed membrane-less organelles that form dynamically as RNA and protein (RNP) phase separate during physiological stress. When translation initiation is limited, SGs assemble and play a role in translational regulation and proteome buffering. Translationally stalled mRNAs, translation initiation factors, RNA-binding proteins, and non-RNA-binding proteins are among the constituents of SGs. SGs are one of the most important cellular stress relievers, yet their presence are temporary. Any condition that causes permanent presence of SGs, such as chronic stress or alterations in the structure of the components of SGs, can induce their pathological aggregation and degenerative effects.",9606,Homo sapiens,4,infectious,11706,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)
AC502520,Nucleolus,"Nucleolus is the largest and the first membrane-less organelle which was identified. It is composed of a fibrillar centre (FC), dense fibrillar component (DFC) and granular component (GC).  The nucleolus is a dynamic structure that disassembles during mitosis and reassembles after cell division. The nucleolus is responsible for ribosome biogenesis in eucaryotic cells, which are essential macromolecular machines responsible for synthesizing all proteins required by the cell. The nucleoli are now known to act as sensors and regulators of cellular responses, such as apoptosis, DNA damage response, epigenetic modification, genome stability, proliferation, senescence and signal transduction.",8355,Xenopus laevis,1,biomolecular,,
"0F455885",Synthetic Condensate 000172,,6239,Caenorhabditis elegans,3,synthetic,,
"2857FDAA",Synthetic Condensate 000028,,9606,Homo sapiens,3,synthetic,,
"2ECFBB9C",Chromogranin condensates,Chromogranin condensates are liquid-like assemblies forming in the lumen of the Trans Golgi Network.  The mildly acidic environment inside the Golgi lumen promotes the formation of these condensates and recruits the clients proteins like proinsulin. The formation of liquid-like assemblies provides a mechanism for a receptor-independent sorting of cargo molecules.,9606,Homo sapiens,4,biomolecular,,
F701F3BC,PcG body,Proteins from the Polycomb Group (PcG) are clustered in nuclear foci known as PcG bodies. PcG proteins regulate the expression of a wide range of genes by silencing them.,9606,Homo sapiens,1,biomolecular,,
"2F083DFF",Actin nucleator,"The processive actin polymerase and bundling protein, VASP, forms liquid-like droplets under physiological conditions in vitro",9606,Homo sapiens,3,biomolecular,,
F5FE5C72,Euchromatin,"Chromatin is a complex of DNA and histone proteins that regulates gene expression as well as packaging genetic material to fit inside the cell. The proper functioning of chromatin also necessitates a web of interactions between molecular complexes that alter chromatin shape and organization to change DNA accessibility to transcription factors, resulting in the activation or repression of target DNA locus. Chromatin is divided into three types based on its shape and compaction state: euchromatin, heterochromatin, and centromeric chromatin. Euchromatin is characterized by active genes, broader spacing between nucleosomes, greater accessibility to transcription machinery, and histone modifications and variations that favor active transcription.",9606,Homo sapiens,1,biomolecular,,
"51D14917",L-bodies,"L-bodies, or localization bodies, are cytoplasmic RNP granules in Xenopus laevis oocytes, important for embryonic patterning, localizing maternal mRNAs.",8355,Xenopus laevis,2,biomolecular,,
"35D5A3ED",Synthetic Condensate 000344,"Morphology: In Vitro Droplet Formation,In Vitro Frap,In Vivo Droplet Formation,In Vivo Frap; Main protein: P35193; Partner Proteins: P14904; In vitro reconstitution experiments reveal that Atg19 and lipidated Atg8 are necessary and sufficient for selective sequestration of Ape1 droplets by membranes.",559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1,synthetic,,
"3625CB60",SOSS-INTAC Condensate,The SOSS-INTAC condensate is a nuclear condensate. It regulates R-loop levels and facilitates genome stability. This condensate participates in preventing transcription-replication conflicts,9606,Homo sapiens,2,biomolecular,,
"66E96190",viral replication compartment (VRC),"Liquid-like condensates formed by mumps virus in infected host cell. They concentrate viral proteins (N, P, L, M) and viral genomic RNA, serving as sites for replication and assembly. Stress conditions like heat shock promote coarsening and phosphorylation, stabilizing these condensates and boosting viral replication.",9606,Homo sapiens,4,infectious,11167,Mumps virus (strain Enders)
"34EE5EA1",Synthetic Condensate 000239,,346249,Dosidicus gigas,3,synthetic,,
"178CF9FC",Synthetic Condensate 000200,,9606,Homo sapiens,0,synthetic,,
B19EA3C3,Synthetic Condensate 000214,,9031,Gallus gallus,3,synthetic,,
"1209505D",Synthetic Condensate 000266,,83333,Escherichia coli (strain K12),3,synthetic,,
A0DCDA94,DNA damage foci,"Double-strand breaks can be caused by a variety of physical and chemical factors, such as ionizing radiation and radiomimetic medicines, but they can also develop as secondary lesions during replication and DNA repair after exposure to a variety of genotoxins. Repair proteins aggregate at damaged areas in response to double strand breaks (DSB), forming membrane-less  subnuclear foci, supporting DNA repair.",9606,Homo sapiens,1,biomolecular,,
"507A56A0",Arsenite-induced Necrosome,"The arsenite-induced necrosome form within stress granules during arsenite-induced necroptosis. Stress granules serve as platforms for necrosome assembly, where ZBP1 recruits RIPK3, which ultimately leads to necroptosis, a regulated form of cell death. Based on previous research, the necrosome under these conditions is closely associated with oxidative stress and Z-RNA binding by ZBP1.",9606,Homo sapiens,4,biomolecular,,
E9C70067,Synthetic Condensate 000299,"Morphology: In Vitro Droplet Formation,In Vivo Droplet Formation,In Vivo Frap; Main protein: P29617; Partner Proteins: P05205; Pros promotes HP1 condensation through co-phase separating with HP1a.",7227,Drosophila melanogaster,1,synthetic,,
"08386919",Dense Fibrillar Component,Dense fibrillar component (DFC) is a substructure of nucleolus. Small nucleolar ribonucleoproteins (snoRNPs) splice and modify pre-ribosomal RNA transcripts in the DFC.,9606,Homo sapiens,4,biomolecular,,
"7A2955EF",Synthetic Condensate 000304,"Morphology: In Vitro Droplet Formation; Main protein: P35637; Partner Proteins: P0DTC9; N partitions into hnRNPA2, TDP-43, and FUS droplets",0,Chimeras,1,synthetic,,
"4DFA2D97",ArgBP2 dendritic spine condensate,Post-synaptic condensate composed of neuronal isoform nArgBP2 in dendritic spines.,9606,Homo sapiens,4,biomolecular,,
"7ADEF05E",Synthetic Condensate 000039,,9606,Homo sapiens,0,synthetic,,
"936CAA69",Slit diaphragm condensate,"The slit diaphragm condensates are described to form through the process of liquid-liquid phase separation (LLPS), driven by multivalent interactions among key scaffold proteins at the diaphragm.",9606,Homo sapiens,1,biomolecular,,
"8E814538",Nuclear speckle,Nuclear speckles are nuclear condensates also known as interchromatin granule clusters. These condensates are enriched in pre-mRNA splicing factors located in the interchromatin region of the nucleoplasm.,60711,Chlorocebus sabaeus,1,biomolecular,,
"4F7E7B13",Synthetic Condensate 000323,Morphology: In Vitro Droplet Formation; Main protein: P40381; Partner Proteins: P68431; H3K9me3 12xNA but not native 12xNA undergoes phase separation with Swi6 at the conditions tested,0,Chimeras,1,synthetic,,
"9F5326C7",Synthetic Condensate 000213,,10090,Mus musculus,3,synthetic,,
"6449F681",Synthetic Condensate 000113,,9606,Homo sapiens,1,synthetic,,
"7B3AF3B0",Centrosome,"Cetrosomes are the main microtubule organising centers (MTOC) of animal cells and thus are critical in regulating cell-cycle progression. Centrosomes nucleate microtubules during mitosis, allowing for chromosomal segregation. Each centrosome contains 2 centrioles arranged perpendicularly and surrounded by pericentriolar material (PCM).",8355,Xenopus laevis,2,biomolecular,,
"5A1E8F84",Signalosome,Hpo kinase complexes undergo clustering and phase separation,7227,Drosophila melanogaster,5,biomolecular,,
A310D5D6,Synthetic Condensate 000126,,0,Chimeras,1,synthetic,,
"76F9ED9B",Synthetic Condensate 000325,"Morphology: In Vitro Droplet Formation,In Vitro Frap,In Vivo Droplet Formation,In Vivo Frap; Main protein: Q13185; Partner Proteins: P68431, O43463, Q13263; HP1γ partially colocalizes with SUV39H1 at heterochromatin; Mixing tTRIM28/HP1α or tTRIM28/HP1γ with NE also resulted in extensive punctum formation. HP1α or HP1γ formed far fewer puncta with NE at the same CD concentration.",9606,Homo sapiens,1,synthetic,,
"279CD642",Synthetic Condensate 000197,,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),3,synthetic,,
F3630F2C,Nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes.",6239,Caenorhabditis elegans,5,biomolecular,,
BB266630,TAZ Condensate,"TAZ condensates are dynamic and are primarily formed through the involvement of the protein TAZ. Their formation is modulated by RNA-binding protein FUS, which acts as a dissolver of the condensates. Transcriptional co-activators are recruited into the condensates, such as  TEAD4, BRD4, and CycT1.",9606,Homo sapiens,4,biomolecular,,
"246D7041",Chromatoid body,Chromatoid bodies (CBs) are germ cell specific RNP granules localized in the cytoplasm of spermatids. CB forms as spermatogenesis switches between the meiotic and post-meiotic phases and is involved in the regulation of the haploid male germ cell's exceptionally diverse transcriptome.,10116,Rattus norvegicus,1,biomolecular,,
CC266C53,Synthetic Condensate 000179,,9606,Homo sapiens,3,synthetic,,
"452A98AF",Synthetic Condensate 000046,,10090,Mus musculus,1,synthetic,,
D447D79E,FtsZ/SlmA body,FtsZ/SlmA  body is a bacterial nucleoprotein complex condensate which forms upon the interaction of FtsZ with SlmA. This condensate is dynamic and has liquid-liquid phase separation features.,83333,Escherichia coli (strain K12),1,biomolecular,,
AEAC39F1,Ccer1 condensate,"The CCER1 condensate is a nuclear phase-separated structure important for the histone-to-protamine transition during spermatogenesis, driven by CCER1 protein.",10090,Mus musculus,4,biomolecular,,
"097E35FD",Synthetic Condensate 000345,"Morphology: In Vitro Droplet Formation,In Vitro Frap,In Vivo Droplet Formation,In Vivo Frap; Main protein: P35974; Partner Proteins: Q89933; MeV N and P proteins phase separate upon mixing in vitro.",0,Chimeras,1,synthetic,,
BA0A263B,eukaryotic topoisomerase ii,eukaryotic topoisomerase ii is a condensate formed by eukaryotic Type IIA topoisomerases (topo IIs) (enzymes that modulate chromosome supercoiling) at physiological enzyme concentrations,0,Chimeras,3,biomolecular,,
"4A9B7D75",Synthetic Condensate 000339,"Morphology: In Vitro Droplet Formation,In Vivo Droplet Formation,In Vivo Frap; Main protein: Q05753; Partner Proteins: Q9SQK3, Q42029; Binding of cpTat substrate by N-terminal intrinsically disordered regions of STT complex induces liquid-liquid phase separation.",3702,Arabidopsis thaliana,1,synthetic,,
"9E412E21",Synthetic Condensate 000044,,9606,Homo sapiens,1,synthetic,,
A12AD357,Synthetic Condensate 000347,"Morphology: In Vitro Droplet Formation; Main protein: Q8JGN5; Partner Proteins: Q9NQS7, Q4V7H8; The homologous complex from Xenopus laevis also phase-separated demonstrating evolutionary conservation of this property.",0,Chimeras,1,synthetic,,
"6625DDE5",Synthetic Condensate 000086,,9606,Homo sapiens,3,synthetic,,
C486FBEA,PolyP granule,PolyP granule form in Pseudomonas aeruginosa under nitrogen starvation.,208964,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),5,biomolecular,,
"7230F6EA",Synthetic Condensate 000328,"Morphology: In Vitro Droplet Formation,In Vitro Frap; Main protein: O13024; Partner Proteins: O15392, Q53HL2, P68431; We observed that α-satellite DNA, histone H3.3 polynucleosomes, Histone H3.1 mononucleosomes, H3T3ph mononucleosomes and microtubule bundles all induce phase-separation under conditions where ISB exists in a homogeneous phase on its own.",0,Chimeras,1,synthetic,,
FF3FC04D,sex body,"MAPS plays a crucial role in LLPS, which is correlated with sex body formation and nuclear compartmentalization of mouse pachytene spermatocytes.",9606,Homo sapiens,4,biomolecular,,
F05969EF,Stress granule,"Stress granules (SGs) are condensed membrane-less organelles that form dynamically as RNA and protein (RNP) phase separate during physiological stress. When translation initiation is limited, SGs assemble and play a role in translational regulation and proteome buffering. Translationally stalled mRNAs, translation initiation factors, RNA-binding proteins, and non-RNA-binding proteins are among the constituents of SGs. SGs are one of the most important cellular stress relievers, yet their presence are temporary. Any condition that causes permanent presence of SGs, such as chronic stress or alterations in the structure of the components of SGs, can induce their pathological aggregation and degenerative effects.",284811,Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),4,biomolecular,,
