uniprot,mlo_db,rol_db,source,db,mlo,rol
Q13946,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13951,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14004,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q14008,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14008,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14011,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14011,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14055,P-body,,phasepdb,phasepdb_ht,p-body,
Q14061,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q14088,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14103,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14103,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14103,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14103,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14103,IMP1 ribonucleoprotein granule,,phasepdb,phasepdb_ht,imp1 ribonucleoprotein granule,
Q14135,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14137,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14137,PML nuclear body,,phasepdb,phasepdb_ht,pml nuclear body,
Q14137,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14145,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14146,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14146,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14151,P-body,,phasepdb,phasepdb_ht,p-body,
Q14151,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14152,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14152,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14153,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14155,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14157,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14157,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14160,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14166,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14181,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14183,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14185,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14191,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14192,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14195,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14201,P-body,,phasepdb,phasepdb_ht,p-body,
Q14203,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14203,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14204,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14204,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q14232,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14232,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14240,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14240,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14241,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14241,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14244,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14247,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14257,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14258,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14258,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14258,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q14259,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q14259,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14281,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14296,P-body,,phasepdb,phasepdb_ht,p-body,
Q14296,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14296,P-body,,phasepdb,phasepdb_ht,p-body,
Q14315,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14315,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14320,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14331,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14331,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14331,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14332,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14432,P-body,,phasepdb,phasepdb_ht,p-body,
Q14432,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q14432,P-body,,phasepdb,phasepdb_ht,p-body,
Q14432,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14444,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14444,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q14444,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q14493,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14493,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
