uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
Q2HR80	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34387695;34015248;36250941	Human herpesvirus 8 type P (isolate GK18)
Q4JQW6	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35670106;34015248	Varicella-zoster virus (strain Oka vaccine)
Q9M1K0	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	38393070	Arabidopsis thaliana
P38713	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32169085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q6F380	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35630784	Oryza sativa subsp. japonica
P25158	PhaSepDB	Nuage	nuage	driver	driver	1	37384531;30260314;39112465	Drosophila melanogaster
P03520	PhaSepDB	Viroplasm	viroplasm	driver	driver	1	30181255	Vesicular stomatitis Indiana virus (strain San Juan)
Q77M42	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	31375591;39194235	Measles virus (strain Edmonston-Moraten vaccine)
P03421	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	37762166;32963000;37210029	Human respiratory syncytial virus A (strain A2)
P22363	PhaSepDB	Negri body	negri_body	driver	driver	1	28680096	Rabies virus (strain CVS-11)
P16380	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	39066190	Chandipura virus (strain I653514)
A0A193AUW9	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	32878896	Bovine orthopneumovirus
P69479	PhaSepDB	Negri body	negri_body	driver	driver	1	36480574;39645030	Rabies virus (strain ERA)
P69479	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	39645030;36989298	Rabies virus (strain ERA)
Q9YS28	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	38421168	Bovine orthopneumovirus
Q8B9Q8	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	35536005	Human metapneumovirus (strain CAN97-83)
P60166	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	39642233	Mumps virus (strain SBL)
P35974	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32270045	Measles virus (strain Edmonston-AIK-C vaccine)
P0C798	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	34606793	Borna disease virus 1
P07237	PhaSepDB	Stress granule	stress_granule	driver	driver	1	32087196	Homo sapiens
S5DU62	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	33197754	Cauliflower mosaic virus
O43245	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	35537448;37094986	Homo sapiens
P15659	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37894933	Influenza A virus (strain A/Wilson-Smith/1933 H1N1)
P04147	PhaSepDB	Stress granule	stress_granule	driver	driver	1	26359986;28283059;38942013;35269643;35764627;26777405;35490076	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
B6K794	PhaSepDB	Heterochromatin	heterochromatin	driver	driver	1	40163528	Schizosaccharomyces japonicus (strain yFS275 / FY16936)
B6K794	PhaSepDB	Pab2 nuclear condensate	pab2_condensate	driver	driver	1	40163528	Schizosaccharomyces japonicus (strain yFS275 / FY16936)
P11940	PhaSepDB	Stress granule	stress_granule	driver	driver	1	11121440;30893049;36109629;40102686	Homo sapiens
P11940	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	30893049;40102686;38072230	Homo sapiens
P11940	PhaSepDB	Nuclear speckle	nuclear_speckle	driver	driver	1	30893049;40102686	Homo sapiens
Q6P3L1	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36745802	Danio rerio
Q86U42	PhaSepDB	Nuclear speckle	nuclear_speckle	driver	driver	1	36073763;37422193;38811444	Homo sapiens
Q8CCS6	PhaSepDB	Nuclear speckle	nuclear_speckle	driver	driver	1	36306357	Mus musculus
Q61644	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35809574	Mus musculus
P22234	PhaSepDB	Purinosome	purinosome	driver	driver	1	37848033	Homo sapiens
P53010	PhaSepDB	Hyperosmotic shock foci	hyperosmotic_shock_foci	driver	driver	1	31285266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q58A45	PhaSepDB	Stress granule	stress_granule	driver	driver	1	37295429	Homo sapiens
P36102	PhaSepDB	Stress granule	stress_granule	driver	driver	1	38547866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O97111	PhaSepDB	Par complex	polarity_condensate	driver	driver	1	32385244	Drosophila melanogaster
P22996	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32679076	Escherichia coli
P07621	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32679076	Escherichia coli
Q84GE1	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34902429	Corynebacterium glutamicum
B8GW30	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34902429	Caulobacter vibrioides (strain NA1000 / CB15N)
Q9Z340	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39218187;32385244	Rattus norvegicus
Q99NH2	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37352102	Mus musculus
